"order_num","detail_no","description","quantity","unit_price","amount"
"9","1","桂格高麗人蔘盒裝6瓶","1","409","409"
"9","2","※桂格活靈芝6入/盒","1","341","341"
"10","1","付款折扣","0","0","-300"
"10","2","※維維樂佳倍優鉻100不甜配方(液)","48","68.75","3300"
"10","3","※維維樂佳倍優鉻100不甜配方(液)","6","0","0"
"11","1","付款折扣","0","0","-100"
"11","2","益妙兒糖漿 ( 100 ml )","1","540","540"
"11","3","舒喜滿鼻腔潔潤液(一般型135ml","2","450","900"
"11","4","(請購補單)台灣 pay  168  折價券","1","-168","-168"
"14","1","金貝親Happy Hours纖果飲(蘋果/洋棗)","1","69","59"
"14","2","金貝親Happy Hours纖果飲(蘋果/藍莓/草莓)","1","69","60"
"16","1","付款折扣","0","0","-167"
"16","2","看護墊(春之草/60*75cm/10片)","1","104","104"
"16","3","416422 益舒穩造口袋(雙片式透明開口)70mm 10P/BX","1","65","65"
"17","1","※藥品","1","150","150"
"17","2","樂口舒B2B6緩釋錠 (14錠/瓶/盒)","1","180","180"
"19","1","付款折扣","0","0","-155"
"19","2","來復易柔適安心紙尿片","1","149","149"
"19","3","新多維多 芒果麻糬","3","59","177"
"19","4","新多維多 有機鹽味杏仁","1","39","36"
"19","5","(杏)儲值卡專區活動","1","20","19"
"20","1","付款折扣","0","0","-200"
"20","2","益妙兒糖漿 ( 100 ml )","1","540","540"
"27","1","付款折扣","0","0","-450"
"27","2","'虹錡'矽膚貼(2.5cm*1.5M)","5","234","1170"
"27","3","※益富糖飴","2","243","486"
"29","1","桂格完膳營養素低渣配方","3","68","204"
"29","2","倍速益含纖營養補充配方- 檸檬","4","86","344"
"29","3","倍速益含纖營養補充配方-原味200ml","8","86","688"
"30","1","付款折扣","0","0","-5"
"30","2","外科抽吸引流管 180cm/太平洋","1","45","45"
"30","3","補體素-慎選1 原味 (未洗腎適用)","6","84","504"
"30","4","※腎補納Suplena 237ml-香草口味(未洗腎適用)","6","121","726"
"31","1","付款折扣","0","0","-200"
"31","2","(紅標)※“尼普洛”透析用迴路(HDF補液管)","10","230","2300"
"32","1","小善存+C 60+30入/葡萄味","1","769","769"
"33","1","付款折扣","0","0","-50"
"33","2","寶乖亞D-Plus(10ml/瓶)","1","1620","1620"
"35","1","付款折扣","0","0","-5"
"35","10","伴寶樂 嬰兒紙尿褲--自然風  3  號( 2  片裝)","1","0","0"
"35","11","(單片)WATER & NURSE透潤水感保濕面膜","1","0","0"
"35","2","Abena  私密潔浴露  20ml  //  7765","1","0","0"
"35","3","好健康小提袋(紙袋)","1","0","0"
"35","4","顧可飛葉酸錠250錠","1","520","520"
"35","5","孕媽咪杏福禮","1","0.001","0"
"35","6","贈品-白蘭氏萃雞精-膠原蛋白菁萃  42ml *1入","1","0","0"
"35","7","優護  Premiumcare  銀離子抗菌山形刷毛牙刷","1","0","0"
"35","8","樂護嬰幼兒柔濕巾  10  抽","3","0","0"
"35","9","優護清除環境中多效病毒濕紙巾10抽/包","3","0","0"
"39","1","2655康樂保條狀保護土 6g      10條/盒","2","54","108"
"43","1","挺立關動力葡萄糖胺錠200錠","1","849","849"
"44","1","※益富糖飴","2","243","486"
"45","1","付款折扣","0","0","-1255"
"45","2","益力壯糖尿病配方(原味)750g/罐","10","699.5","6995"
"45","3","(數位印花貼紙)加一點杏福","14","0","0"
"45","4","新多維多 有機綜合薄鹽堅果","1","39","39"
"45","5","(杏)儲值卡專區活動","1","20","20"
"46","1","XL號 7片來復易極緻防漏呵護透氣黏貼型紙尿褲","1","245","245"
"46","2","立攝適諾沛含天然食物均衡營養配方(新包裝)","2","108","216"
"46","3","樂護超厚柔濕巾 80 抽(加蓋)","1","80","80"
"48","1","惠幼|加纖無糖 棗露|330ml","1","99","99"
"48","2","3M嬰幼兒膠帶(1吋/1入)1534CP-1","1","77","77"
"50","1","付款折扣","0","0","-50"
"50","2","(無糖)葡勝納SR原味菁選8入禮盒","1","810","810"
"53","1","輔理善瞬感 2  掃描式葡萄糖監測系統","2","2200","4400"
"54","1","付款折扣","0","0","-355"
"54","2","OptiFibre纖維佳250g","1","1300","1300"
"54","3","補體素-勝力2 原味 (18%蛋白質補養)","1","59","59"
"54","4","補體素嚐鮮成箱回購折價卷 (20張 / 袋)","1","0","0"
"54","5","(杏)儲值卡專區活動","1","20","19"
"54","6","新多維多 有機鹽味杏仁","1","39","36"
"54","7","(請購補單)台灣 pay  168  折價券","1","-168","-168"
"58","1","愛喜維生素C+鈣口嚼錠60s (食品級)","2","342","684"
"60","1","付款折扣","0","0","-315"
"60","2","御護 薑皇顧甘寶養飲 50ml","39","69","1287"
"60","3","御護 薑皇顧甘寶養飲 50ml","2","69","138"
"60","4","(數位印花貼紙)加一點杏福","1","0","0"
"60","5","(杏)儲值卡專區活動","1","20","20"
"60","6","新多維多 有機鹽味杏仁","1","39","39"
"60","7","(請購補單)台灣 pay  168  折價券","1","-168","-168"
"61","1","杏輝金碘120ml(OTC.)","1","81","81"
"63","1","付款折扣","0","0","-170"
"63","2","御護 益添C維他命發泡錠(C1000+鋅+精氨酸)白葡萄風味","1","199","199"
"64","1","付款折扣","0","0","-2"
"64","2","H&B生技驗孕試劑","1","90","90"
"64","3","妙妙熊兩用平紋棉柔巾(80張/盒)","1","71","71"
"64","4","女性護理沐浴乳 粉玫瑰","1","134","134"
"64","5","187957A超薄型多愛膚滅菌親水性敷料15x15cm","1","198","198"
"64","6","(紅標)好健康背心袋 - 中(新版)","1","2","2"
"65","1","電解質液(益兒壯500ml/蘋果)","1","72","72"
"65","2","電解質液(益兒壯500ml/葡萄)","1","72","72"
"66","1","付款折扣","0","0","-100"
"66","2","丸山大豆均衡營養配方-芒果","2","60","120"
"68","1","優護酒精擦拭巾60抽/包","1","98","79"
"68","2","(紅標)優護輕柔抽取式衛生紙-呵護再升級130抽/包","2","25","50"
"68","3","優護保濕潤膚柔濕巾50抽/包","1","79","79"
"68","4","補體素-優蛋白 無糖不甜 (增強體力配方)","1","72","72"
"68","5","亞培安素香草口味(少甜)","1","75","75"
"68","6","(紅標)好健康背心袋 - 中(新版)","1","2","2"
"69","1","力增未洗腎配方原味237ml","6","104","624"
"70","1","付款折扣","0","0","-926"
"70","2","御護 薑皇顧甘寶養飲 50ml","60","69","1980"
"70","3","(數位印花貼紙)加一點杏福","2","0","0"
"70","4","御護 薑皇顧甘寶養飲 50ml","2","69","138"
"70","5","野菽家營養棒-海苔藜麥","1","35","35"
"70","6","御護 薑皇顧甘寶養飲 50ml","2","69","138"
"73","1","付款折扣","0","0","-80"
"73","2","安加適頂級全防護成人紙尿褲 (L號/P30)","1","1161","1161"
"75","1","羅氏血糖試紙匣Mobile全方位(50PCS)","1","1080","1080"
"77","1","付款折扣","0","0","-3"
"77","2","亞培安素香草口味(少甜)","4","75","274"
"77","3","亞培安素草莓口味(少甜)","4","75","273"
"77","4","※安素原味  237ml","4","75","273"
"78","1","※葡勝納SR850公克","1","939","939"
"79","1","台鹽小分子海洋活水1500ml","3","25","75"
"79","2","※桂格即食大燕麥片 700g/罐","1","116","116"
"79","3","烘焙客無糖餅乾-亞麻仁","2","90","180"
"79","4","益力壯糖尿病配方(原味)750g/罐","1","790","790"
"81","1","付款折扣","0","0","-51"
"81","2","御護xHAC-海藻鈣+D3複方錠40碇","1","399","351"
"81","3","御護xHAC-海藻鈣+D3複方錠120s","1","850","749"
"81","4","(數位印花貼紙)加一點杏福","1","0","0"
"83","1","付款折扣","0","0","-50"
"83","2","橢圓型冷熱敷墊(大)","1","225","225"
"83","3","御護xHAC-德萊比B群+肝精複方錠(30錠/罐)","1","399","399"
"84","1","善存維他命C甜嚼錠60錠","1","229","229"
"87","1","導尿包(國發)","2","64","128"
"89","1","益妙兒糖漿 ( 100 ml )","1","540","540"
"89","2","優護竹葉萃取濕巾60抽/包","1","99","79"
"90","1","桂格未洗腎適用完膳營養素","24","97.92","2350"
"90","2","(紅標)L 7片大王Attento側背雙防漏黏貼型紙尿褲","1","249","249"
"90","3","(數位印花貼紙)加一點杏福","4","0","0"
"91","1","益力壯給力優蛋白高鈣配方(原味無糖)250ML","2","49","98"
"96","1","付款折扣","0","0","-30"
"96","2","(紅標)雀巢能恩水解早產配方 400g","2","508","1016"
"96","3","寶乖亞滴劑 (10ml/瓶)","1","1485","1485"
"98","1","歐治鼻舒敏抗過敏鼻噴劑120次定量噴劑(OTC)","1","495","495"
"98","2","※獅美露保視捷眼藥水15ml(OTC)","1","179","179"
"98","3","※旺滴人工淚液15ml*2入/盒(OTC)","1","243","243"
"100","1","付款折扣","0","0","-100"
"100","2","益力壯Plus(高氮粉狀均衡配方)800g","12","775","9300"
"100","3","益力壯Plus(高氮粉狀均衡配方)800g","2","0","0"
"100","4","(數位印花貼紙)加一點杏福","18","0","0"
"101","1","付款折扣","0","0","-505"
"101","2","太平洋S型蓄尿袋(豪華型/2000ml)M01200","2","81","162"
"101","3","25510 適透膜粉 28.3g 1P/BX","1","248","248"
"101","4","新多維多 有機什錦脆麥片250g/包","1","199","199"
"101","5","新多維多 有機什錦穀麥片350g/包","1","199","199"
"101","6","御護xHAC-維他命C+蔓越莓複方錠 30 錠","1","399","399"
"101","7","新多維多 有機綜合薄鹽堅果","1","39","36"
"101","8","(杏)儲值卡專區活動","1","20","19"
"102","1","14604新象浮動環  70 mm5片/盒","5","200","1000"
"102","2","未滅菌不織布(10*10cm)(中國衛材)","2","45","90"
"102","3","(請購補單)台灣 pay  168  折價券","1","-168","-168"
"104","1","付款折扣","0","0","-100"
"104","2","※亞培葡勝納SR菁選200ml","24","90","2160"
"105","1","※葡勝納SR850公克","2","939","1878"
"107","1","付款折扣","0","0","-100"
"107","2","※(無糖)葡勝納SR原味菁選200ml","24","90","2160"
"108","1","付款折扣","0","0","-100"
"108","2","※(無糖)葡勝納SR原味菁選200ml","24","90","2160"
"110","1","付款折扣","0","0","-200"
"110","2","安素高鈣鈣強化配方(香草少甜口味)","10","93","930"
"110","3","立迅強力自粘彈繃952(雙粘) 6'","1","72","72"
"111","1","麗德手臂式電子血壓計升級版","1","2980","2980"
"111","2","御護 維生素C緩釋膜衣錠(60 錠)","1","0","0"
"111","3","保腎大帝腎臟病協會衛教四折頁","1","0","0"
"111","4","(數位印花貼紙)加一點杏福","2","0","0"
"112","1","益富易能充900g罐裝","2","530","1060"
"112","2","易能充 45g  (贈包)","4","0","0"
"112","3","(數位印花貼紙)加一點杏福","2","0","0"
"112","4","(請購補單)台灣 pay  168  折價券","1","-168","-168"
"114","1","付款折扣","0","0","-200"
"114","2","益妙兒鋅C錠（60錠）","1","1170","1170"
"115","1","付款折扣","0","0","-200"
"115","2","亞培倍力素癌症專用液體營養品(莓果口味)","1","230","230"
"115","3","※亞培倍力素(經典香草)","1","230","230"
"115","4","益富益力壯高效魚油優蛋白配方(果汁牛奶風味)","4","144","576"
"116","1","華新白色透氣膠布(2.5cm*9.14M/2入/含切台)吊卡","1","54","54"
"116","2","杏輝金碘30ml(OTC.)","1","36","36"
"117","1","※倍速癌症配方熱帶水果口味","4","205","820"
"118","1","付款折扣","0","0","-250"
"118","2","輔理善瞬感 2  掃描式葡萄糖監測系統","4","2200","8800"
"118","3","保腎大帝腎臟病協會衛教四折頁","1","0","0"
"119","1","新保麗能軟膠囊100粒/瓶(紅標)","1","1500","1500"
"121","1","輔理善瞬感 2  掃描式葡萄糖監測系統","2","2200","4400"
"122","1","安加適頂級全防護成人紙尿褲 (M號/P30)","3","1047.2","3142"
"122","2","優護潔膚抑菌柔濕巾 ( 50 抽 / 包，20 * 30cm )","1","0","0"
"122","3","(數位印花貼紙)加一點杏福","3","0","0"
"124","1","滅菌不織布(7.5*7.5cm)(4入)(中國衛材)","1","10","10"
"124","2","悠貝欣(口含錠)","1","882","882"
"124","3","(請購補單)台灣 pay  168  折價券","1","-168","-168"
"128","1","付款折扣","0","0","-1"
"128","2","補體素-優蛋白 無糖不甜 (增強體力配方)","1","72","72"
"128","3","桂格完膳營養素雙蛋白配方(原味無糖)","1","62","62"
"130","1","桂格完膳營養素-植物蛋白禮盒8入/盒","1","499","499"
"130","2","補體素-優蛋白 清甜 (增強體力配方)","2","72","144"
"130","3","補體素關健 葡萄糖胺即飲配方","2","55","110"
"130","4","補體素-優纖A+ 清甜 (均衡營養配方)","2","67","134"
"130","5","補體素-倍力 (腫瘤癌症適用)","1","164","164"
"130","6","補體素倍力腫瘤適用即飲配方食品(燕麥風味)","1","164","164"
"130","7","(紅標)好健康背心袋 - 中(新版)","1","2","2"
"131","1","空針(TERUMO/1ml/26G,1/2吋)","15","6","90"
"131","2","BD胰島素空針 50U / 30G / 0.5c.c / 短針8mm","50","7","350"
"131","3","(紅標)好健康背心袋 - 小(新版)","1","1","1"
"132","1","輔理善瞬感 2  掃描式葡萄糖監測系統","1","2200","2200"
"132","2","保腎大帝腎臟病協會衛教四折頁","1","0","0"
"133","1","補體素-慎選1 原味 (未洗腎適用)","1","59","59"
"133","2","補體素嚐鮮成箱回購折價卷 (20張 / 袋)","1","0","0"
"134","1","付款折扣","0","0","-100"
"134","2","補體素-慎選1 原味 (未洗腎適用)","24","81.25","1950"
"134","3","補體素-慎選1 原味 (未洗腎適用)","2","0","0"
"135","1","付款折扣","0","0","-200"
"135","2","※安素原味  237ml","24","66.458","1595"
"135","3","(數位印花貼紙)加一點杏福","2","0","0"
"137","1","付款折扣","0","0","-350"
"137","2","御護 維生素C緩釋膜衣錠(60 錠)","2","249.5","499"
"138","1","付款折扣","0","0","-300"
"138","2","羅氏血糖試紙匣Mobile全方位(50PCS)","2","1020","2040"
"140","1","補體素-優蛋白 無糖不甜 (增強體力配方)","6","72","432"
"142","1","付款折扣","0","0","-200"
"142","2","御護xHAC-德萊比B群+肝精複方錠(90錠/罐)","1","960","848"
"142","3","御護xHAC-德萊比B群+肝精複方錠(30錠/罐)","1","399","352"
"142","4","(數位印花貼紙)加一點杏福","1","0","0"
"144","1","付款折扣","0","0","-5"
"144","10","千鶴薄荷棒22.5g(乙成)","2","108","216"
"144","2","(請購補單)台灣 pay  168  折價券","1","-168","-168"
"144","3","優護酒精擦拭巾60抽/包","1","98","79"
"144","4","威德清涼果凍-能量(紅標)","1","42","39"
"144","5","威德清涼果凍-膠原蛋白(粉紅)","1","42","40"
"144","6","Dr’s Formula葡萄柚抗菌洗手乳400g","1","125","125"
"144","7","身可補電解質發泡錠(20錠)","1","150","150"
"144","8","德國NIVEA面霜(滋潤修護)鐵罐60ml","1","79","79"
"144","9","牙周適牙齦護理牙膏溫和美白配方90g","2","170","178"
"152","1","付款折扣","0","0","-2"
"152","10","桂格燕麥片  330g","1","69","69"
"152","2","(紅標)好健康背心袋 - 中(新版)","1","2","2"
"152","3","御護 芝麻E+好享眠輕鬆膠囊(90粒/盒)","1","1280","1280"
"152","4","(數位印花貼紙)加一點杏福","2","0","0"
"152","5","御護 益添C維他命發泡錠(C500+葉黃素+莓果酵素)鳳梨風味","1","199","194"
"152","6","御護 益添C維他命發泡錠(C500+鈣+鎂)青蘋果風味","1","199","194"
"152","7","御護 益添C維他命發泡錠(C1000+鐵+葉酸)荔枝風味","1","199","194"
"152","8","御護 益添C維他命發泡錠(C500+B群)柑橘風味","1","199","194"
"152","9","新多維多天然加州黑棗","1","159","159"
"154","1","付款折扣","0","0","-20"
"154","2","維維樂草本超涼喉片","1","89","89"
"156","1","※金十字胃腸藥95g(成藥)","1","135","135"
"156","2","※中美|便通樂膜衣錠20粒/盒(OTC)","1","97.2","97"
"156","3","※中美|便通樂膜衣錠20粒/盒(OTC)","1","97.2","97"
"158","1","付款折扣","0","0","-116"
"158","2","導尿包(國發)","4","64","256"
"158","3","滅菌不織布(5*5cm)(4入)(鈺弘)","20","8","160"
"158","4","3M嬰幼兒膠帶(1吋/2入)1534DP-1","1","136","136"
"158","5","(紅標)好健康背心袋 - 中(新版)","1","2","2"
"158","6","導尿管(太平洋/矽質/FR16)","1","162","162"
"160","1","愛馨葡萄糖錠","4","90","360"
"161","1","(新) 明倍適精巧杯 ( 優格口味 ) 125ml / 瓶","1","63","63"
"163","1","付款折扣","0","0","-100"
"163","2","桂格完膳營養素高鈣配方237ML","2","49","98"
"163","3","銀耳花釀  180ml","1","36","36"
"164","1","付款折扣","0","0","-100"
"164","2","桂格癌症適用完膳營養素250ML","6","162","972"
"166","1","416422 益舒穩造口袋(雙片式透明開口)70mm 10P/BX","10","57.6","576"
"166","2","台裕潔膚生理食鹽水","2","54","108"
"166","3","滅菌棉棒(沖洗)(6入)(中國衛材)","10","6","60"
"166","4","滅菌棉棒(口腔)(10入)(中國衛材)","20","4","80"
"166","5","嘉利得 凡士林  4OZ","1","68","68"
"166","6","(請購補單)台灣 pay  168  折價券","1","-168","-168"
"176","1","寶乖亞D-Plus(10ml/瓶)","1","1620","1620"
"177","1","付款折扣","0","0","-208"
"177","2","御護 益添C維他命發泡錠(C1000+D3+E+K)水蜜桃風味","1","199","194"
"177","3","御護 益添C維他命發泡錠(C1000+鐵+葉酸)荔枝風味","1","199","194"
"178","1","NUCARE  可倍力營養飲(黑芝麻風味) 200ml","1","57","33"
"178","2","NUCARE  可倍力營養飲(草莓風味) 200ml","1","57","33"
"178","3","(杏)儲值卡專區活動","1","20","12"
"183","1","可倍力均衡配方營養素  900  克","2","612","1224"
"183","2","(數位印花貼紙)加一點杏福","2","0","0"
"183","3","(請購補單)台灣 pay  168  折價券","1","-168","-168"
"187","1","付款折扣","0","0","-200"
"187","2","NUCARE  可倍力營養飲(黑芝麻風味) 200ml","6","57","317"
"187","3","NUCARE  可倍力營養飲(草莓風味) 200ml","6","57","317"
"187","4","NUCARE可倍力禮盒","1","27","26"
"187","5","喜多免洗褲5天4夜(孕婦)4入-XL","2","131","262"
"187","6","蘇菲超熟睡內褲型衛生棉XL-1包2片","1","89","89"
"187","7","克淋濕防水透氣繃10片","1","85","85"
"187","8","(請購補單)台灣 pay  168  折價券","1","-168","-168"
"187","9","禾護抗菌潔手慕斯 280ml","1","139","99"
"188","1","※倍速癌症專用配方-鳳梨椰子口味","1","205","205"
"188","2","※倍速癌症配方熱帶水果口味","1","205","205"
"188","3","※倍速癌症專用配方-卡布奇諾口味","1","205","205"
"188","4","馬桶坐墊防菌紙(10入/包)","1","23","23"
"195","1","付款折扣","0","0","-100"
"195","2","棉花棒(康綿/150支/細/","1","50","50"
"195","3","CLK 健生大豆卵磷脂(100顆/瓶)","1","882","882"
"195","4","御護 益添C維他命發泡錠(C1000+鐵+葉酸)荔枝風味","1","199","199"
"195","5","(數位印花貼紙)加一點杏福","1","0","0"
"195","6","(請購補單)台灣 pay  168  折價券","1","-168","-168"
"197","1","輔理善瞬感 2  掃描式葡萄糖監測系統","1","2200","2200"
"198","1","※桂格完膳營養素-原味無糖","12","59","708"
"199","1","付款折扣","0","0","-50"
"199","2","益力壯Plus經典(高氮經典粉狀均衡配方)800g","2","775","1550"
"199","3","(數位印花貼紙)加一點杏福","2","0","0"
"201","1","京都清潤無糖枇杷膏15g*4包(食品級)","1","56","56"
"201","2","豐生一條根草本精油貼(10片)","2","135","270"
"202","1","(集)亞培安素菁選香草口味(少甜)","1","85","85"
"202","2","※亞培原味安素菁選","2","85","170"
"202","3","優護  Premiumcare  螺旋纖細軟毛寬頭牙刷","2","111","139"
"202","4","325208 '康威'蘆薈清潔泡沫","1","324","324"
"204","1","付款折扣","0","0","-250"
"204","2","樂護加大超厚純水柔濕巾80 抽","24","74.5","1788"
"204","3","(紅標)M 9片大王側背雙防漏黏貼型紙尿褲","6","249","1434"
"204","4","※(無糖)葡勝納SR原味菁選200ml","24","90","2160"
"204","5","(數位印花貼紙)加一點杏福","3","0","0"
"206","1","付款折扣","0","0","-200"
"206","2","亞培安素香草口味(少甜)","24","66.458","1595"
"206","3","(數位印花貼紙)加一點杏福","2","0","0"
"207","1","付款折扣","0","0","-30"
"207","2","寶乖亞D-Plus(10ml/瓶)","1","1620","1620"
"216","1","付款折扣","0","0","-200"
"216","2","挺立關鍵迷你錠30錠","1","899","899"
"216","3","善存舒眠益生菌膠囊 30粒","1","809","809"
"216","4","(請購補單)台灣 pay  168  折價券","1","-168","-168"
"218","1","台裕潔膚生理食鹽水","1","54","54"
"218","2","滅菌Y型不織布(5*5cm)(2入)(中國衛材)","7","3","21"
"218","3","滅菌紗布(10*10cm)(4入)(中國衛材)","10","12","120"
"218","4","滅菌棉棒(口腔)(10入)(中國衛材)","10","4","40"
"218","5","(紅標)好健康背心袋 - 中(新版)","1","2","2"
"218","6","滅菌棉棒(沖洗)(6入)(中國衛材)","10","6","60"
"218","7","杏輝金碘120ml(OTC.)","1","81","81"
"218","8","樂護超厚柔濕巾 80 抽(加蓋)","1","80","80"
"219","1","立攝適諾沛含天然食物均衡營養配方(新包裝)","24","90.41","2170"
"219","2","牙刷(Oral-B/單束毛)","2","68","136"
"220","1","付款折扣","0","0","-30"
"220","2","新多維多 有機無調味南瓜子180g/包","2","169","318"
"220","3","惠幼成人礦物質電解質(鋅)500ml","1","99","99"
"220","4","維維樂R3活力平衡電解水Plus(柚子)500ml","1","90","90"
"220","5","NUCARE  可倍力營養飲(草莓風味) 200ml","1","57","33"
"220","6","NUCARE  可倍力營養飲(黑芝麻風味) 200ml","1","57","33"
"220","7","(杏)儲值卡專區活動","1","20","12"
"220","8","新多維多天然梅子大葡萄乾","1","50","50"
"221","1","付款折扣","0","0","-424"
"221","2","白花油甦醒凝露-薄荷菁蒂15ml","1","176","176"
"221","3","野菽家營養棒-蜂蜜檸檬","3","39","87"
"221","4","野菽家營養棒-蔓越莓","3","39","87"
"221","5","野菽家營養棒-海苔藜麥","6","39","174"
"222","1","付款折扣","0","0","-67"
"222","2","金吉胃福適凝膠20g*4 sachets/盒(OTC)","1","100","100"
"222","3","御護 優酵高機能益生菌 6 入","1","169","169"
"225","1","付款折扣","0","0","-200"
"225","2","日本味王-金盞花葉黃素膠囊(B群特別版)30粒/盒","2","669","1338"
"227","1","付款折扣","0","0","-200"
"227","2","御護xHAC-海藻鈣+D3複方錠120s","1","850","749"
"227","3","御護xHAC-海藻鈣+D3複方錠40碇","1","399","351"
"227","4","(數位印花貼紙)加一點杏福","1","0","0"
"228","1","亞培安素沛力優蛋白配方(香草少甜口味)","24","93","2232"
"229","1","付款折扣","0","0","-169"
"229","2","御護 優酵高機能益生菌 6 入","1","169","169"
"230","1","付款折扣","0","0","-32"
"230","2","吉優適口內噴劑100ml","1","1480","1280"
"230","3","速養遼 15g*12包裝(盒)","2","2106","4212"
"231","1","付款折扣","0","0","-200"
"231","2","愛速康金選優纖營養均衡配方250ml/罐","24","67.5","1620"
"232","1","付款折扣","0","0","-50"
"232","2","益富益力壯20營養均衡配方(原味液體)","24","66.67","1600"
"232","3","益富益力壯20營養均衡配方(原味液體)","4","0","0"
"232","4","(數位印花貼紙)加一點杏福","2","0","0"
"236","1","寶益兒 小兒滴劑 50ml","1","675","675"
"237","1","拭拭樂成人擦澡手套12入","2","84.5","169"
"237","10","手臂吊帶(M/14902)","1","248","248"
"237","11","滅菌不織布(10*10cm)(4入)(中國衛材)","4","12","48"
"237","12","滅菌棉棒(普通)(10入)(鈺喜)","5","4","20"
"237","13","麥迪森可清沖洗用食鹽水15ML*8支/包","1","80","80"
"237","14","桂格完膳營養素雙蛋白配方(原味無糖)","1","62","62"
"237","15","御護 益添C維他命發泡錠(C1000+D3+E+K)水蜜桃風味","2","199","388"
"237","16","優護清新漱口水(750ml/瓶)","1","235","235"
"237","2","優護清新漱口水（200ml/瓶）","1","0","0"
"237","3","NUCARE  可倍力營養飲(草莓風味) 200ml","30","54","1620"
"237","4","御護 極臻淬燜雞精禮盒(8入)","2","990","1980"
"237","5","(紅標)好健康背心袋 - 大(新版)","1","3","3"
"237","6","NUCARE  可倍力營養飲(草莓風味) 200ml","2","0","0"
"237","7","(數位印花貼紙)加一點杏福","2","0","0"
"237","8","(數位印花貼紙)加一點杏福","2","0","0"
"237","9","金碘藥水(普威隆碘)200ml(OTC.)","1","144","144"
"238","1","(紅標)添寧復健敢動褲 M","1","225","225"
"240","1","付款折扣","0","0","-50"
"240","2","益力壯營養均衡完整配方14(原味)250ml/罐","24","50","1200"
"240","3","芭緹絲乾洗髮(玩酷中性)","1","261","261"
"240","4","(紅標)添寧長效紙尿褲L/10pc","1","249","249"
"240","5","益力壯營養均衡完整配方14(原味)250ml/罐","4","0","0"
"240","6","(數位印花貼紙)加一點杏福","2","0","0"
"240","7","(紅標)好健康背心袋 - 大(新版)","1","3","3"
"241","1","付款折扣","0","0","-204"
"241","2","桂格完膳營養素-鮮甜玉米濃湯","24","57.92","1390"
"241","3","(數位印花貼紙)加一點杏福","2","0","0"
"243","1","金貝親Happy Hours纖果飲(蘋果/桃子/芒果)","1","69","69"
"243","2","惠幼|加纖無糖 棗露|330ml","1","99","99"
"243","3","(新) 明倍適精巧杯 (玉米濃湯) 125ml / 瓶","1","63","63"
"243","4","(新) 明倍適精巧杯(水果歐蕾口味) 125ml/瓶","1","63","63"
"243","5","(新) 明倍適精巧杯 ( 優格口味 ) 125ml / 瓶","1","63","63"
"245","1","御護 優酵高機能益生菌 6 入","1","169","169"
"245","2","御護 優敏利寶貝益生菌 6 入","1","169","169"
"248","1","樂護純棉免洗褲  4 入  - 女XXL","1","98","98"
"248","2","※桂格完膳營養素_糖尿病適用配方","1","75","75"
"248","3","大王Attento愛適多長時間元氣褲L 8片","1","249","249"
"248","4","※康乃馨純淨棉一般流量18片裝(紅標)","1","95","95"
"248","5","滅菌棉棒(3吋)(10入)(中國衛材)","2","4","8"
"256","1","※管灌安素 8oz # 0709","6","66","396"
"258","1","付款折扣","0","0","-400"
"258","2","御護 極臻淬燜雞精禮盒(8入)","2","990","1980"
"258","3","御護 極臻淬燜雞精禮盒(8入)","2","990","1980"
"258","4","NUCARE  可倍力營養飲(黑芝麻風味) 200ml","2","57","66"
"258","5","(杏)儲值卡專區活動","1","20","12"
"258","6","(數位印花貼紙)加一點杏福","3","0","0"
"259","1","滅菌紗布(10*10cm)(10入)(10包/盒)(雅保Abena)","10","16","160"
"259","10","滅菌棉棒(沖洗)(6入)(鈺弘)","5","6","30"
"259","11","※(無糖)葡勝納SR原味菁選200ml","1","102","102"
"259","12","立攝適穩優雙重穩定金鑽配方原味口味","1","87","87"
"259","2","滅菌紗布(10*10cm)(10入)(10包/盒)(雅保Abena)","10","16","160"
"259","3","彈性紗繃(4吋/白色)","1","27","27"
"259","4","彈性紗繃(4吋/白色)","1","27","27"
"259","5","滅菌棉棒(沖洗)(6入)(鈺弘)","5","6","30"
"259","6","3M嬰幼兒膠帶(1吋/2入)1534DP-1","1","136","136"
"259","7","立攝適諾沛含天然食物均衡營養配方(新包裝)","1","108","108"
"259","8","立攝適穩優雙重穩定金鑽配方原味口味","1","87","87"
"259","9","滅菌棉棒(沖洗)(6入)(鈺弘)","5","6","30"
"260","1","付款折扣","0","0","-80"
"260","2","補體素-優蛋白 原味 增強體力配方 (粉狀) 750公克","2","666","1332"
"261","1","新鐵多膠囊(30顆/盒)","1","1782","1782"
"261","2","HAC-綜合B群+鐵錠","1","720","720"
"262","1","付款折扣","0","0","-200"
"262","2","※安素原味  237ml","24","66.458","1595"
"262","3","(請購補單)台灣 pay  168  折價券","1","-168","-168"
"263","1","付款折扣","0","0","-20"
"263","2","京都蜜煉枇杷膏15g*4包(食品級)","1","62","62"
"267","1","補體素-慎選1 原味 (未洗腎適用)","1","59","59"
"267","2","倍速力慢性腎臟病配方","1","106","106"
"267","3","益富益力勝慎前8蛋白質管理配方","1","82","82"
"267","4","益富益力勝慎前8蛋白質管理配方","1","82","82"
"270","1","御茶園日式綠茶-無糖 550cc","2","25","50"
"270","2","(紅標)好健康背心袋 - 中(新版)","1","2","2"
"270","3","FIN深海補給","1","25","25"
